mintemp,temp,maxtemp,feelslike
0.31024208566108,0.3154940119760479,0.311493411420205,0.2569784172661871
0.2432029795158286,0.25598802395209586,0.311493411420205,0.20892086330935256
0.2845437616387336,0.28218562874251496,0.2748901903367496,0.23625899280575535
0.35307262569832387,0.34917664670658677,0.34809663250366035,0.2906474820143885
0.3165735567970204,0.31661676646706594,0.311493411420205,0.27510791366906484
0.45437616387337054,0.4427395209580838,0.45790629575402636,0.36
0.3858472998137803,0.4157934131736527,0.40812591508052715,0.3349640287769784
0.3858472998137803,0.43862275449101795,0.435212298682284,0.36345323741007196
0.42309124767225326,0.4569610778443114,0.44582723279648623,0.3879136690647482
0.43202979515828666,0.437874251497006,0.44289897510980974,0.3686330935251799
0.34860335195530723,0.34543413173652704,0.33345534407027827,0.3116546762589928
0.34860335195530723,0.34543413173652704,0.33345534407027827,0.3116546762589928
0.42309124767225326,0.4491017964071856,0.4359443631039533,0.39165467625899286
0.5020484171322159,0.5123502994011976,0.5142752562225477,0.43856115107913674
0.6465549348230912,0.6714071856287426,0.671303074670571,0.586474820143885
0.33556797020484164,0.33794910179640714,0.3846998535871157,0.28719424460431653
0.10912476722532582,0.10965568862275443,0.11383601756954614,0.07913669064748202
0.08528864059590313,0.08832335329341312,0.08748169838945835,0.06848920863309355
0.14487895716945987,0.14371257485029942,0.1650805270863836,0.10791366906474825
0.15642458100558654,0.15980538922155685,0.15849194729136168,0.1269064748201439
0.20931098696461814,0.2043413173652695,0.2115666178623719,0.16230215827338135
0.3452513966480447,0.33570359281437123,0.34809663250366035,0.2762589928057554
0.31135940409683427,0.30913173652694603,0.30893118594436314,0.2687769784172662
0.42309124767225326,0.43188622754491013,0.42606149341142024,0.3735251798561151
0.25847299813780256,0.24775449101796398,0.24341142020497814,0.18992805755395686
0.23687150837988824,0.23428143712574845,0.2324304538799415,0.17611510791366908
0.19962756052141528,0.2503742514970059,0.2580527086383602,0.21553956834532373
0.15121042830540032,0.15905688622754488,0.1650805270863836,0.1231654676258993
